"REF_DATE","GEO","DGUID","Cannabis price","Units of measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1963","Northwest Territories","2016A000261","Producer price","Price per gram","Dollars","81","units ","0","v1001800003","17.2.1","","..","","","2"
"1963","Northwest Territories","2016A000261","Producer price","Price index","2012=100","383","units ","0","v1001800004","17.2.2","","..","","","1"
"1963","Nunavut","2016A000262","Consumer price","Price per gram","Dollars","81","units ","0","v1001799969","18.1.1","","..","","","2"
"1963","Nunavut","2016A000262","Consumer price","Price index","2012=100","383","units ","0","v1001799970","18.1.2","","..","","","1"
"1963","Nunavut","2016A000262","Producer price","Price per gram","Dollars","81","units ","0","v1001800005","18.2.1","","..","","","2"
"1963","Nunavut","2016A000262","Producer price","Price index","2012=100","383","units ","0","v1001800006","18.2.2","","..","","","1"
"1964","Canada","2016A000011124","Consumer price","Price per gram","Dollars","81","units ","0","v1001799937","1.1.1","4.64","","","","2"
"1964","Canada","2016A000011124","Consumer price","Price index","2012=100","383","units ","0","v1001799938","1.1.2","53.3","","","","1"
"1964","Canada","2016A000011124","Producer price","Price per gram","Dollars","81","units ","0","v1001799973","1.2.1","3.44","","","","2"
"1964","Canada","2016A000011124","Producer price","Price index","2012=100","383","units ","0","v1001799974","1.2.2","61.8","","","","1"
